HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,31T4R4OBOUUL5RF8CPP73TIMGNA7C4,ALZVG5501Y5IX,Approved,Fri Aug 17 12:40:37 PDT 2018,Fri Aug 17 12:42:18 PDT 2018,Fri Aug 17 18:42:18 PDT 2018,Fri Aug 17 15:15:20 PDT 2018,,,101,100% (1/1),100% (1/1),100% (1/1),1.53453E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,32RIADZISUI4TLML7DH0FM2UBO64SB,A2CJYS92WX7HN6,Approved,Fri Aug 17 13:26:08 PDT 2018,Fri Aug 17 13:38:36 PDT 2018,Fri Aug 17 19:38:36 PDT 2018,Fri Aug 17 15:15:18 PDT 2018,,,748,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,33JKGHPFYE8NHYJM5L0A2M9OAGJMNC,A1PTH9KTRO06EG,Approved,Fri Aug 17 13:32:33 PDT 2018,Fri Aug 17 13:40:58 PDT 2018,Fri Aug 17 19:40:58 PDT 2018,Fri Aug 17 15:15:17 PDT 2018,,,505,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,35H6S234SCEH26SOE5X7J9CGTV8650,AG7C4X3WKKBV,Approved,Fri Aug 17 13:53:22 PDT 2018,Fri Aug 17 14:00:42 PDT 2018,Fri Aug 17 20:00:42 PDT 2018,Fri Aug 17 15:15:19 PDT 2018,,,440,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,35LDD5557CIM9SYJ888UAUSKGLEMK7,AKQPDAOVGFB91,Approved,Fri Aug 17 12:40:51 PDT 2018,Fri Aug 17 12:53:38 PDT 2018,Fri Aug 17 18:53:38 PDT 2018,Fri Aug 17 15:15:19 PDT 2018,,,767,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,36DSNE9QZ7CFYBDD33NV1JHCWWTOJP,A2ORPKVJKI0EIO,Approved,Fri Aug 17 12:40:36 PDT 2018,Fri Aug 17 12:45:49 PDT 2018,Fri Aug 17 18:45:49 PDT 2018,Fri Aug 17 15:15:18 PDT 2018,,,313,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,37WLF8U1WR4KKPDRLS1DLYVYQL4K60,A2R0Y8A3SSZ30S,Approved,Fri Aug 17 13:14:26 PDT 2018,Fri Aug 17 13:41:15 PDT 2018,Fri Aug 17 19:41:15 PDT 2018,Fri Aug 17 15:15:19 PDT 2018,,,1609,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,38F5OAUN5PQCMZQOYH38EKF2TFF7HD,A1AYYDLZ60894L,Approved,Fri Aug 17 13:25:57 PDT 2018,Fri Aug 17 13:40:58 PDT 2018,Fri Aug 17 19:40:58 PDT 2018,Fri Aug 17 15:15:17 PDT 2018,,,901,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,38JBBYETQQO3J2H36IXVQ5YFAXI4EV,A5IELMRC1OIQO,Approved,Fri Aug 17 15:22:07 PDT 2018,Fri Aug 17 15:29:30 PDT 2018,Fri Aug 17 21:29:30 PDT 2018,Fri Aug 17 15:35:45 PDT 2018,,,443,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
3QX22DUVOPVX3JU2HAHZOJ7GV54MV8,3JHC69GP0MNXQMISSI60LBJF56X5DX,Personalized College Ranker,Help us test the user interface for an interactive ranking tool.  Your task is to create ranking of colleges based on your own personal preferences. There is also a short survey about your experience.  Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.50 ,Fri Aug 17 12:40:18 PDT 2018,31,BatchId:3343592;OriginalHitTemplateId:920937340;,2700,21600,Mon Aug 20 15:21:58 PDT 2018,,,3A7Y0R2P2Q22SKR54UARKW8580YJXP,A3L62PZ2PQU34S,Approved,Fri Aug 17 12:53:02 PDT 2018,Fri Aug 17 13:16:27 PDT 2018,Fri Aug 17 19:16:27 PDT 2018,Fri Aug 17 15:15:19 PDT 2018,,,1405,100% (1/1),100% (1/1),100% (1/1),1.53454E+12,,
