WorkerId,WorkTimeInSeconds,Answer.surveycode
ALZVG5501Y5IX,101,1534534922960
A2CJYS92WX7HN6,748,1534538301234
A1PTH9KTRO06EG,505,1534538449525
AG7C4X3WKKBV,440,1534539633143
AKQPDAOVGFB91,767,1534535596251
A2ORPKVJKI0EIO,313,1534535134603
A2R0Y8A3SSZ30S,1609,1534538463705
A1AYYDLZ60894L,901,1534538388104
A3L62PZ2PQU34S,1405,1534536926184
A1PP6DN7HB6Q9P,1358,1534536054348
A2LR1HKNOVDTJ8,303,1534535126342
AGX171Q54YXPI,1006,1534535829305
A22IIMLQ7K4B3M,393,1534539895454
A1T6IYPL8THZ4H,185,1534535019886
AQKB8JSBEMXK9,1517,1534539312653
A1V2H0UF94ATWY,2360,SCGvDFTDgEqtKHBWW
A3GJ9W2VNUWRHA,2466,1534540033487
A3MK7F6KT80AZT,1190,1534536008613
A1P6OXEJ86HQRM,490,1534535316332
A1ZD8RU6YB0VEU,845,1534535117159
AZZA3J049G7R5,671,1534535447782
AOBTFLJU2BEPR,392,1534535220368
A1JQ4KBFW7U3N1,635,1534535928951
A1VR49TB3Q4BV8,580,1534534990461
A3US51RJ9AWSEE,1487,1534536551783
A1Q9DQOLJB8O83,488,1534537082086
A1YILFU07P6DND,303,1534535108019
AJG4Y1OT9N50T,307,1534535134229
A3NBGNDNDGF10U,551,1534538367213
